HYBAS_ID,AI_present,meanQ,CVQ,RBI,season_conc,SUB_AREA,runoff_mm_day
7080740310,0,0.0003364385222645,15.712160475945616,0.6392917686946694,0.4640599232536793,2565.7,1.1329574121546868e-05
7080738530,0,0.3182716025185213,5.301352982879305,0.6571524827340957,0.5393375962830881,2741.3,0.0100312503037246
7080729280,0,0.2000998687847069,4.4622289733422384,0.751744376065691,0.5133822723227968,671.6,0.025742448872839007
7080729290,0,0.2725813627286244,6.0772396538458,0.8981948390894545,0.5572188004626865,355.4,0.06626626263295765
7080737010,0,0.0019486691579647,2.4233148280335075,0.0673170731707317,0.3667826236310001,157.8,0.001066951934398923
7080729110,0,0.0020392268238747,20.4923108928909,0.9398054631902792,0.590596998500367,1798.0,9.799176728741608e-05
7080727260,0,0.1136709100067856,0.1801310464514615,0.0022545236816973,0.2620603050122971,372.8,0.026344331074534003
7080727700,0,0.0001655893499109,15.22881343880237,0.3574435514734022,0.7997647551301363,246.9,5.794621236250208e-05
7080727600,0,0.4580257185329229,3.57036318215028,0.1671970375970267,0.3129293129341121,137.4,0.28801617235258037
7080727070,0,0.4156228677696739,1.7462286743279638,0.0781021171058327,0.277777637990289,311.5,0.11528030746484695
7080727200,0,0.0001427756622079,19.464152742566974,0.7785175321793165,0.8665066307561696,818.7,1.506756713663437e-05
7080722960,0,0.4147684951651963,1.7511312643346977,0.0803202788306944,0.2776398970945563,361.1,0.09924120183404309
7080722950,0,0.0415907468523768,24.715698790416187,0.8750879930276,0.7027461036160111,1863.7,0.001928121762110509
7080723910,0,0.0669146372876112,2.517861094788307,0.0728999453553465,0.2864589320883227,903.1,0.006401754691229773
7080724020,0,0.1133832040563088,1.1659297665810495,0.0284788565979967,0.2571830256845752,2135.8,0.0045867163734736776
7080008510,0,0.0039430924340449,21.17721230550202,0.715663270225965,0.5500021187952367,2679.3,0.00012715380371794104
7080008590,0,7.477819858206239e-06,76.4211454243456,2.0,1.0,2267.9,2.8488188886151024e-07
7080719560,0,0.0030655259137361,2.5711151946929443,0.0150080621821639,0.3992380425891374,1305.2,0.00020292785699264408
7080719550,0,0.0002463878271924,6.853671070621823,0.1085390946502057,0.75,390.9,5.445870624053047e-05
7080719200,0,985.547503002982,0.2815838974683242,0.0042487403008036,0.269445410607593,705.7,120.66218543213496
7080712040,0,0.1370262326786698,0.7749803687416117,0.0325499913516973,0.304032203366848,998.8,0.011853290451979448
7080711960,0,985.4114154268094,0.2816212019507062,0.0044018541131549,0.2692106337299869,751.4,113.30788700143245
7080707810,0,85.00703491870259,1.4558641860345012,0.0391744636012728,0.4488123864805944,259.3,28.324750547535302
7080707710,0,900.3355562384157,0.2524192428636696,0.0018050068846337,0.2778172558390977,2268.5,34.29093764998859
7080706980,0,85.00412642700587,1.456900466205906,0.0403875724681962,0.4489296101520094,432.1,16.996890819933597
7080706870,0,0.0006711660179513,4.289287387203769,0.0181285997545085,0.6161270905525849,579.5,0.00010006685755132411
7080708580,0,85.00076045749935,1.4568312067488198,0.0411431149245712,0.4491230074358879,1048.8,7.002350975903838
7080707210,0,84.99707256151082,1.4578156660916215,0.041959740603463,0.4491814754248018,1596.5,4.599904208778287
7080707030,0,84.99711749180132,1.4579148485465043,0.0420504543692341,0.4491811797621871,394.6,18.610620758468407
